"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 4.5","Temperature","Dec","2090-2099",-7.6,2.7
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2010-2019",11,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2010-2019",3,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2010-2019",2,21
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2010-2019",8,25
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2010-2019",7,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2010-2019",10,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2010-2019",5,95
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2010-2019",6,73
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2010-2019",2,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2010-2019",5,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2010-2019",9,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2010-2019",9,65
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2020-2029",13,53
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2020-2029",6,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2020-2029",4,24
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2020-2029",7,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2020-2029",5,42
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2020-2029",7,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2020-2029",13,77
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2020-2029",9,93
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2020-2029",5,80
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2020-2029",6,40
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2020-2029",10,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2020-2029",6,65
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2030-2039",12,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2030-2039",4,26
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2030-2039",2,19
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2030-2039",5,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2030-2039",4,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2030-2039",9,86
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2030-2039",7,69
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2030-2039",5,70
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2030-2039",6,58
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2030-2039",2,35
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2030-2039",11,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2030-2039",18,86
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2040-2049",9,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2040-2049",5,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2040-2049",2,18
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2040-2049",3,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2040-2049",4,43
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2040-2049",6,63
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2040-2049",6,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2040-2049",4,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2040-2049",5,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2040-2049",5,38
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2040-2049",5,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2040-2049",9,71
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2050-2059",9,68
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2050-2059",4,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2050-2059",4,23
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2050-2059",5,30
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2050-2059",9,40
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2050-2059",15,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2050-2059",5,84
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2050-2059",3,45
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2050-2059",5,75
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2050-2059",6,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2050-2059",10,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2050-2059",15,82
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2060-2069",8,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2060-2069",4,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2060-2069",4,23
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2060-2069",2,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2060-2069",11,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2060-2069",9,56
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2060-2069",6,67
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2060-2069",8,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2060-2069",12,74
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2060-2069",6,35
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2060-2069",13,51
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2060-2069",7,85
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2070-2079",8,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2070-2079",2,32
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2070-2079",2,21
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2070-2079",5,33
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2070-2079",10,48
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2070-2079",9,59
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2070-2079",4,87
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2070-2079",4,73
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2070-2079",4,83
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2070-2079",2,32
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2070-2079",7,57
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2070-2079",13,87
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2080-2089",8,57
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2080-2089",6,26
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2080-2089",2,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2080-2089",7,39
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2080-2089",9,46
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2080-2089",5,70
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2080-2089",6,63
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2080-2089",3,68
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2080-2089",2,64
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2080-2089",4,29
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2080-2089",14,61
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2080-2089",6,66
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jan","2090-2099",11,67
"Kamloops, British Columbia","RCP 6.0","Precipitation","Feb","2090-2099",6,31
"Kamloops, British Columbia","RCP 6.0","Precipitation","Mar","2090-2099",4,25
"Kamloops, British Columbia","RCP 6.0","Precipitation","Apr","2090-2099",7,27
"Kamloops, British Columbia","RCP 6.0","Precipitation","May","2090-2099",12,52
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jun","2090-2099",6,66
"Kamloops, British Columbia","RCP 6.0","Precipitation","Jul","2090-2099",5,78
"Kamloops, British Columbia","RCP 6.0","Precipitation","Aug","2090-2099",5,103
"Kamloops, British Columbia","RCP 6.0","Precipitation","Sep","2090-2099",7,47
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2090-2099",5,36
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2090-2099",12,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2090-2099",8,85
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2010-2019",-10.6,2.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2010-2019",-6.7,3.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2010-2019",-0.1,8.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2010-2019",4.8,13.6
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2010-2019",10.3,17.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2010-2019",13.2,21.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2010-2019",16.8,23.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2010-2019",18.1,23
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2010-2019",11.2,18.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2010-2019",5,12.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2010-2019",-2.3,6.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2010-2019",-9.5,1.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2020-2029",-10.6,0.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2020-2029",-6,4.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2020-2029",-0.2,11.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2020-2029",6.1,13.8
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2020-2029",10.3,18
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2020-2029",15,22
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2020-2029",17.7,23.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2020-2029",16.7,24.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2020-2029",12.8,19.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2020-2029",5.6,12.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2020-2029",-3,8.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2020-2029",-7.5,4.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2030-2039",-9,1.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2030-2039",-4.4,5.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2030-2039",-0.2,9.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2030-2039",5.1,13.1
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2030-2039",11.3,17.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2030-2039",14.7,22.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2030-2039",18.4,25
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2030-2039",17.4,24
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2030-2039",12,17.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2030-2039",3.7,11.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2030-2039",-5.7,7.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2030-2039",-11.3,2.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2040-2049",-10.1,2.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2040-2049",-5.5,8.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2040-2049",-1.7,9.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2040-2049",5.5,15.3
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2040-2049",11.7,19.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2040-2049",14.5,23.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2040-2049",18.1,26.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2040-2049",17.9,24.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2040-2049",12.2,18.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2040-2049",5.3,13.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2040-2049",-2.6,6.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2040-2049",-9.6,2.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2050-2059",-9.6,2.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2050-2059",-6.7,7.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2050-2059",-2.9,9.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2050-2059",6.6,16.5
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2050-2059",11.6,19.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2050-2059",16.2,23.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2050-2059",18.8,24.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2050-2059",17.3,24.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2050-2059",13,19.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2050-2059",6.7,12.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2050-2059",-0.9,6.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2050-2059",-7.9,3.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2060-2069",-8,3
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2060-2069",-5.3,7.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2060-2069",0.1,10.8
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2060-2069",7.3,15
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2060-2069",12.3,20.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2060-2069",16.1,23.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2060-2069",19.2,26.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2060-2069",17.5,26.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2060-2069",11.7,18.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2060-2069",6.7,13.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2060-2069",-0.7,8.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2060-2069",-8.8,3.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2070-2079",-9.2,2.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2070-2079",-2.9,6.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2070-2079",0.7,12
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2070-2079",7.2,15.9
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2070-2079",11.5,20.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2070-2079",15.5,22.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2070-2079",18.7,25.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2070-2079",17,27.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2070-2079",12.7,20.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2070-2079",6.6,13.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2070-2079",-1.4,8.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2070-2079",-6.6,5.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2080-2089",-9.4,2.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2080-2089",-3.1,10.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2080-2089",2.1,11.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2080-2089",7.6,18.6
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2080-2089",12.8,21.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2080-2089",14.7,26
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2080-2089",18.7,27.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2080-2089",19.6,26.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2080-2089",13.4,21.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2080-2089",7.3,14.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2080-2089",-0.6,6.4
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2080-2089",-6.5,4.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2090-2099",-10.4,3.5
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2090-2099",-4.1,8
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2090-2099",1.7,14
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2090-2099",7.5,17.1
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2090-2099",12.2,20.7
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2090-2099",15.1,23.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2090-2099",19.2,27.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Aug","2090-2099",18.6,27.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Sep","2090-2099",13.9,20.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Oct","2090-2099",6.4,14.2
"Kamloops, British Columbia","RCP 6.0","Temperature","Nov","2090-2099",-1.6,8.2
