"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 6.0","Temperature","Dec","2090-2099",-6.5,4.5
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2010-2019",12,52
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2010-2019",3,26
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2010-2019",4,18
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2010-2019",6,28
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2010-2019",10,47
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2010-2019",9,64
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2010-2019",6,54
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2010-2019",4,77
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2010-2019",5,54
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2010-2019",4,38
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2010-2019",5,45
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2010-2019",16,60
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2020-2029",9,55
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2020-2029",4,31
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2020-2029",3,21
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2020-2029",6,34
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2020-2029",7,48
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2020-2029",8,49
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2020-2029",6,53
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2020-2029",3,68
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2020-2029",8,58
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2020-2029",2,26
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2020-2029",4,46
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2020-2029",12,64
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2030-2039",8,53
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2030-2039",4,31
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2030-2039",2,17
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2030-2039",4,31
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2030-2039",8,46
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2030-2039",11,60
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2030-2039",5,72
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2030-2039",8,92
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2030-2039",6,72
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2030-2039",3,31
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2030-2039",8,39
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2030-2039",10,65
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2040-2049",10,63
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2040-2049",7,25
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2040-2049",3,17
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2040-2049",7,28
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2040-2049",8,52
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2040-2049",10,55
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2040-2049",7,63
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2040-2049",6,63
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2040-2049",8,73
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2040-2049",6,40
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2040-2049",7,52
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2040-2049",10,69
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2050-2059",11,64
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2050-2059",4,26
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2050-2059",2,19
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2050-2059",4,30
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2050-2059",12,41
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2050-2059",7,65
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2050-2059",4,55
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2050-2059",5,70
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2050-2059",2,60
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2050-2059",4,34
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2050-2059",8,47
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2050-2059",8,71
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2060-2069",9,64
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2060-2069",3,26
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2060-2069",3,24
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2060-2069",6,39
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2060-2069",8,45
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2060-2069",8,57
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2060-2069",4,61
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2060-2069",5,65
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2060-2069",3,65
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2060-2069",5,40
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2060-2069",7,49
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2060-2069",15,90
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2070-2079",7,59
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2070-2079",4,35
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2070-2079",5,20
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2070-2079",5,28
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2070-2079",7,44
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2070-2079",7,56
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2070-2079",5,67
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2070-2079",4,53
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2070-2079",4,53
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2070-2079",3,34
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2070-2079",10,46
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2070-2079",17,76
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2080-2089",7,55
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2080-2089",3,27
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2080-2089",4,24
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2080-2089",5,39
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2080-2089",7,46
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2080-2089",3,59
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2080-2089",5,58
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2080-2089",4,76
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2080-2089",8,65
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2080-2089",4,42
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2080-2089",8,52
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2080-2089",15,74
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jan","2090-2099",12,67
"Kamloops, British Columbia","RCP 8.5","Precipitation","Feb","2090-2099",3,31
"Kamloops, British Columbia","RCP 8.5","Precipitation","Mar","2090-2099",5,29
"Kamloops, British Columbia","RCP 8.5","Precipitation","Apr","2090-2099",3,34
"Kamloops, British Columbia","RCP 8.5","Precipitation","May","2090-2099",5,56
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jun","2090-2099",4,49
"Kamloops, British Columbia","RCP 8.5","Precipitation","Jul","2090-2099",4,74
"Kamloops, British Columbia","RCP 8.5","Precipitation","Aug","2090-2099",4,86
"Kamloops, British Columbia","RCP 8.5","Precipitation","Sep","2090-2099",7,89
"Kamloops, British Columbia","RCP 8.5","Precipitation","Oct","2090-2099",5,38
"Kamloops, British Columbia","RCP 8.5","Precipitation","Nov","2090-2099",8,51
"Kamloops, British Columbia","RCP 8.5","Precipitation","Dec","2090-2099",9,79
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2010-2019",-12.7,1.8
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2010-2019",-7,5.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2010-2019",-1.2,9.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2010-2019",3.9,14.1
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2010-2019",11,17.8
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2010-2019",15.4,21.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2010-2019",17.9,23.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2010-2019",16.9,23
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2010-2019",11.3,18.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2010-2019",4.2,10.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2010-2019",-4.9,7
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2010-2019",-9.3,1.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2020-2029",-12.7,0.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2020-2029",-6,4.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2020-2029",-0.6,11.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2020-2029",6.4,16.1
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2020-2029",11.1,18.8
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2020-2029",14.7,22.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2020-2029",17.8,24.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2020-2029",18.2,23.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2020-2029",11.1,18.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2020-2029",4.3,12.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2020-2029",-2.6,7.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2020-2029",-9.5,3.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2030-2039",-13.3,2.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2030-2039",-5.2,5
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2030-2039",-1.5,10.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2030-2039",7.6,15.3
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2030-2039",12.3,19.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2030-2039",15.7,21.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2030-2039",17.5,25.8
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2030-2039",17.8,25.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2030-2039",13.2,17.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2030-2039",6.1,12.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2030-2039",-4.5,6.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2030-2039",-7.2,4.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2040-2049",-8.6,2.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2040-2049",-4.5,6.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2040-2049",0.6,11
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2040-2049",5.8,14.9
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2040-2049",11.6,20.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2040-2049",16.4,23.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2040-2049",18.7,26.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2040-2049",18.2,24.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2040-2049",12.6,19.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2040-2049",4.5,13.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2040-2049",-3.4,9.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2040-2049",-10.6,2.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2050-2059",-8.8,1.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2050-2059",-7.2,9.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2050-2059",1.1,12.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2050-2059",7.7,15.4
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2050-2059",12.4,19.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2050-2059",16.4,23.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2050-2059",19.2,26.8
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2050-2059",18.6,27.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2050-2059",14,20.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2050-2059",7.1,12.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2050-2059",-0.3,7
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2050-2059",-8.1,3.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2060-2069",-9.6,4.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2060-2069",-5.2,8.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2060-2069",-0.4,11.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2060-2069",7.7,16.2
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2060-2069",12.2,20.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2060-2069",17.6,25.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2060-2069",19.5,27.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2060-2069",19.2,26.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2060-2069",13.5,21.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2060-2069",7.6,13.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2060-2069",-0.7,9.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2060-2069",-5.9,5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2070-2079",-7.1,3.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2070-2079",-3.8,9.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2070-2079",3.1,13.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2070-2079",8.6,18.5
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2070-2079",13.1,22.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2070-2079",16.4,24.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2070-2079",20.4,27.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2070-2079",18.9,28.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2070-2079",13.7,23.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2070-2079",6.6,14.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2070-2079",-1.2,10.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2070-2079",-5.1,3.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2080-2089",-9.6,4
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2080-2089",-3.1,8.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2080-2089",2.3,13.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2080-2089",8.8,18
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2080-2089",13.7,21.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2080-2089",18.2,25.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2080-2089",21,28.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2080-2089",19.6,29.7
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2080-2089",14.4,25
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2080-2089",8.1,15.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2080-2089",-0.5,9.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2080-2089",-5,4.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jan","2090-2099",-7.5,6.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Feb","2090-2099",-3.5,10.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Mar","2090-2099",2.7,13.2
"Kamloops, British Columbia","RCP 8.5","Temperature","Apr","2090-2099",8.8,17.7
"Kamloops, British Columbia","RCP 8.5","Temperature","May","2090-2099",13.4,22.9
"Kamloops, British Columbia","RCP 8.5","Temperature","Jun","2090-2099",18.1,25.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Jul","2090-2099",20.5,30.3
"Kamloops, British Columbia","RCP 8.5","Temperature","Aug","2090-2099",20,31.4
"Kamloops, British Columbia","RCP 8.5","Temperature","Sep","2090-2099",14.3,24.1
"Kamloops, British Columbia","RCP 8.5","Temperature","Oct","2090-2099",8.1,15.6
"Kamloops, British Columbia","RCP 8.5","Temperature","Nov","2090-2099",0.2,10.5
"Kamloops, British Columbia","RCP 8.5","Temperature","Dec","2090-2099",-5.6,5.9
